"","node_id","protocol","user_agent","connected_since","services","height","hostname","city","country_code","latitude","longitude","timezone","asn","organization_name"
"13020","35.220.138.138:8333","70015","/Satoshi:0.20.1/","1685147784","1037","791555","138.138.220.35.bc.googleusercontent.com","Central","HK",22.2908,114.1501,"Asia/Hong_Kong","AS396982","GOOGLE-CLOUD-PLATFORM"
"13021","zrhklpyqfdu7dlrsiwx6db76h6s3wc6qqjpvzvlv3fdq3wqzenwh64qd.onion:8333","70016","/Satoshi:22.0.0/","1685145424","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13022","7bovz4kwttrhav4mcj2zz2aqgqfz52ljrr4nlttd3w7pe5vhyr4nmjad.onion:8333","70016","/Satoshi:23.0.0/","1685073307","1037","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13023","195.211.139.153:8511","70016","/Satoshi:23.0.0(dim-3500)/","1685114217","1032","791556","2212222372.teremki.kiev.ua","Kyiv","UA",50.458,30.5303,"Europe/Kyiv","AS43967","Teremky Lan Isp LLC"
"13024","70.107.92.177:8333","70016","/Satoshi:22.0.0/","1685138598","1033","791556","pool-70-107-92-177.nycmny.fios.verizon.net","Brooklyn","US",40.6472,-73.9405,"America/New_York","AS701","UUNET"
"13025","kaf74ioszax3boh3eyzeqemsmrxa7atngxfgire3kmfifzg5y6xolxad.onion:8333","70016","/Satoshi:24.0.1/","1685106914","1037","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13026","kpks2yjtile7h7qbiigw7dcd3vfomjsvdkwzyvfxyke33ymqlljmaiid.onion:8333","70016","/Satoshi:24.0.1/","1684329508","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13027","[2603:6081:1901:1d01:207:43ff:fe31:7070]:8333","70016","/Satoshi:24.0.1/","1684328021","1033","791556","2603-6081-1901-1d01-0207-43ff-fe31-7070.res6.spectrum.com","Raleigh","US",35.8025,-78.6405,"America/New_York","AS11426","TWC-11426-CAROLINAS"
"13028","83.54.170.132:8333","70016","/Satoshi:24.0.1/","1684328018","1033","791556","132.red-83-54-170.dynamicip.rima-tde.net","Cistierna","ES",42.8012,-5.1311,"Europe/Madrid","AS3352","Telefonica De Espana S.a.u."
"13029","34.93.175.206:8333","70015","/Satoshi:0.20.1/","1685147315","1037","791555","206.175.93.34.bc.googleusercontent.com","Mumbai","IN",19.0748,72.8856,"Asia/Kolkata","AS396982","GOOGLE-CLOUD-PLATFORM"
"13030","65.108.244.8:8333","70016","/Satoshi:22.0.0/","1685145907","1033","791556","static.8.244.108.65.clients.your-server.de","Helsinki","FI",60.1797,24.9344,"Europe/Helsinki","AS24940","Hetzner Online GmbH"
"13031","mvzwpogvmkg4jtl5cokz72n4rdg7yzo5mgwlcfls7byfjsi7bryudwad.onion:8333","70016","/Satoshi:24.0.1/","1685128511","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13032","druy56d5nhwnbfdec4khpp3w2wfimsahxibvsh6bgsfepbmwtzq42sad.onion:8333","70016","/Satoshi:22.0.0(FutureBit-Apollo-Node)/","1685147790","1033","791554",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13033","g3zl23vpenyxwzufg7wpbbaku6w6gu2tgjd6f5nxr5xxnuny7773cuqd.onion:8333","70016","/Satoshi:24.0.1/","1684564716","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13034","35.186.187.87:8333","70015","/Satoshi:0.20.1/","1685147786","1037","791552","87.187.186.35.bc.googleusercontent.com","Washington","US",38.894,-77.0365,"America/New_York","AS396982","GOOGLE-CLOUD-PLATFORM"
"13035","67qi6dqjnadrkzswz6r7ccgbtahcragtb54aeusdlgkb6fripw67uxid.onion:8333","70016","/Satoshi:0.21.0/","1685146846","1032","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13036","4tmowx5yijm3wot7xbpz4lzk7nlypg2pzvrxlj5itblogufz2vysllyd.onion:8333","70016","/Satoshi:24.0.1/","1684700545","1036","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13037","89.191.99.44:8333","70016","/Satoshi:22.0.0/","1685146834","1033","791556","89.191.99.44","Riga","LV",56.9496,24.0978,"Europe/Riga","AS20910","Baltcom SIA"
"13038","100.40.20.89:8333","70016","/Satoshi:24.0.1/","1684328020","1033","791556","pool-100-40-20-89.prvdri.fios.verizon.net","Westerly","US",41.3709,-71.8141,"America/New_York","AS701","UUNET"
"13039","lox2yfv2z2umn77ob2xsmksudnn4cobflflwjqbi2tfp7gkffo2eezyd.onion:8333","70016","/Satoshi:23.0.0/","1685135504","1037","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13040","vvgwu4nr7fq7ebffrybgadrnacturhrs3nq5wkfagpc34jl7eg3g53id.onion:8333","70016","/Satoshi:24.0.1/","1685047826","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13041","2r4bxl7cnelruspdo3cxagx2k7q7dwxpbar5uwdutmc4455dk2ljicad.onion:8333","70016","/Satoshi:23.0.0/","1685115518","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13042","12.221.144.189:8333","70016","/Satoshi:22.0.0/","1685146833","1032","791556","12.221.144.189","Royse City","US",32.9628,-96.3648,"America/Chicago","AS398337","COMMUNITY-INTERNET-PROVIDERS"
"13043","157.230.104.123:8333","70016","/Satoshi:22.0.0/","1685146363","1033","791556","btc03-01.node.dc01.int.coininfra.net","Frankfurt am Main","DE",50.1188,8.6843,"Europe/Berlin","AS14061","DIGITALOCEAN-ASN"
"13044","[2a12:8e40:5668:e425::1]:8333","70016","/Satoshi:23.0.0/","1684328021","1033","791556","2a12:8e40:5668:e425::1",NA,"FR",48.8582,2.3387,"Europe/Paris","AS45021","BIP21 SAS"
"13045","108.18.213.224:8333","70016","/Satoshi:0.21.1/","1685142692","1033","791556","pool-108-18-213-224.washdc.fios.verizon.net","Herndon","US",38.9258,-77.3939,"America/New_York","AS701","UUNET"
"13046","jvswm5i7ostg75d5mwlxs5fdlek4sunmcyjzjjiwemeppqvsmiywoqad.onion:8333","70016","/Satoshi:23.0.0/","1685074250","1037","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13047","acthfc5qskolaxb4xoaminlyuobhleh2irmmewfee5zo2uvsphpczaad.onion:8333","70016","/Satoshi:23.0.0/","1684940535","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13048","h5cjmhytanrifob6n7mdphtlea6db6xaaranehemws24ncv4oy2bbuid.onion:8333","70016","/Satoshi:23.0.0(RoninDojo 2.0.0)/","1685045967","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13049","qghwt7ktfb6rx3vwqpn5v2pvbebqm7cis2q2mkcqthqhnod7rnlb3bad.onion:8333","70016","/Satoshi:24.0.1/","1685127209","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
